AREA,AREA_TITLE
27,Minnesota
55,Wisconsin
19,Iowa
51,Virginia
42,Pennsylvania
37,North Carolina
11,District of Columbia
04,Arizona
22,Louisiana
49,Utah
50,Vermont
02,Alaska
36,New York
05,Arkansas
31,Nebraska
40,Oklahoma
56,Wyoming
24,Maryland
28,Mississippi
10,Delaware
66,Guam
39,Ohio
18,Indiana
30,Montana
26,Michigan
35,New Mexico
20,Kansas
13,Georgia
41,Oregon
23,Maine
12,Florida
29,Missouri
06,California
25,Massachusetts
01,Alabama
78,Virgin Islands
72,Puerto Rico
53,Washington
46,South Dakota
16,Idaho
48,Texas
21,Kentucky
47,Tennessee
34,New Jersey
32,Nevada
09,Connecticut
08,Colorado
45,South Carolina
15,Hawaii
54,West Virginia
17,Illinois
44,Rhode Island
38,North Dakota
33,New Hampshire
