Name,Facility ID (CCN),Parent System/Company,PE Firm,Currently PE?,State,Address,City,Zip,County,Date last acquired by PE,Previous Owner Type,Hospital Ownership,Type,Region,Payment Designation,Hospital Overall Rating,HCRIS Acute,HCRIS Beds,POS Certified Beds,POS Total Beds,PSF Beds,Emergency Services,fips
ADVANCED CARE HOSPITAL OF MONTANA,272001,Ernest Health,One Equity Partners,Y,MT,3528 GABEL RD,BILLINGS,59102,Yellowstone,October 2018,PE,For profit,LTACH,West ,,,,40,40,40,,,30
ADVANCED CARE HOSPITAL OF SOUTHERN NEW MEXICO LLC,322004,Ernest Health,One Equity Partners,Y,NM,4451 EAST LOHMAN AVENUE,LAS CRUCES,88011,Dona Ana,October 2018,PE,For profit,LTACH,West ,,,,20,20,20,,,35
ADVANCED SPECIALTY HOSPITAL OF TOLEDO,362038,CommuniCare Family of Companies,Longevity Venture Partners,Y,OH,1015 GARDEN LAKE PARKWAY,TOLEDO,43614,Lucas,,,For profit,LTACH,Midwest ,,,,40,40,40,,,39
"AHN EMERUS WESTMORELAND, LLC",390333,Allegheny Health Network/Emerus ,"Welsh, Carson, Anderson & Stowe",Y,PA,6321 ROUTE 30,GREENSBURG,15601,WESTMORELAND,September 2015,PE,Proprietary,Acute Care Hospitals,Northeast ,PPS,Not Available,40,,10,10,10,Yes,42
"ALTUS HOUSTON HOSPITAL, LP",670135,Altus Healthcare,"BTG Pactual, ZT Corporate",Y,TX,6011 W SAM HOUSTON PKWY SOUTH,HOUSTON,77072,HARRIS,July 2020,Private,Proprietary,Acute Care Hospitals,South ,PPS,Not Available,10,,10,10,10,Yes,48
ALTUS LUMBERTON HOSPITAL,670134,Altus Healthcare,"BTG Pactual, ZT Corporate",Y,TX,220 BLANCO ST,LUMBERTON,77657,HARDIN,July 2020,Private,Proprietary,Acute Care Hospitals,South ,PPS,Not Available,4,,4,4,1,Yes,48
ANDALUSIA HEALTH,010036,ScionHealth,Apollo Global Management,Y,AL,849 SOUTH THREE NOTCH STREET,ANDALUSIA,36420,COVINGTON,November 2018,Public,Proprietary,Acute Care Hospitals,South ,MDH,3,83,,88,88,86,Yes,01
ANDERSON REHABILITATION INSTITUTE,143029,LifePoint Health,Apollo Global Management,Y,IL,3402 ANDERSON HEALTHCARE DR,EDWARDSVILLE,,Madison,,,For profit,Rehabilitation hospital,Midwest ,,,,,,,,,17
"ANIMAS SURGICAL HOSPITAL, LLC",060117,Surgery Partners,Bain Capital,Y,CO,"575 RIVERGATE LN, STE 100",DURANGO,81301,LA PLATA,August 2017,PE/Public,Proprietary,Acute Care Hospitals,West ,PPS,Not Available,12,,12,12,12,Yes,08
ARIZONA SPINE AND JOINT HOSPITAL,030107,Surgery Partners,Bain Capital,Y,AZ,4620 EAST BASELINE ROAD,MESA,85206,MARICOPA,August 2017,PE/Public,Physician,Acute Care Hospitals,West ,PPS,Not Available,23,,23,23,22,No,04
ASCENSION SAINT THOMAS REHABILITATION HOSPITAL,443038,LifePoint Health,Apollo Global Management,Y,TN,310 21ST AVENUE N,NASHVILLE,,Davidson,,,For profit,Rehabilitation hospital,South ,,,,,,,,,47
ASHLEY REGIONAL MEDICAL CENTER,460030,LifePoint Health,Apollo Global Management,Y,UT,150 WEST 100 NORTH,VERNAL,84078,UINTAH,November 2018,Public,Proprietary,Acute Care Hospitals,West ,SCH,4,39,,39,39,37,Yes,49
ATLANTIC REHABILITATION INSTITUTE,313038,LifePoint Health,Apollo Global Management,Y,NJ,200 MADISON AVENUE,MADISON,7940,Morris,,,For profit,Rehabilitation hospital,Northeast ,,,,38,38,38,,,34
"BAILEY MEDICAL CENTER, LLC",370228,Ardent Health Services,Equity Group Investments,Y,OK,10502 NORTH 110TH EAST AVENUE,OWASSO,74055,TULSA,August 2015,PE,Proprietary,Acute Care Hospitals,South ,PPS,2,73,,83,83,72,Yes,40
BAKERSFIELD HEART HOSPITAL,050724,Surgery Partners,Bain Capital,Y,CA,3001 SILLECT AVENUE,BAKERSFIELD,93308,KERN,August 2017,PE/Public,Proprietary,Acute Care Hospitals,West ,PPS,3,47,,47,47,45,Yes,06
BAKERSFIELD REHABILITATION HOSPITAL,053044,Ernest Health,One Equity Partners,Y,CA,4400 KIRKCALDY DR,BAKERSFIELD,,Kern,,,For profit,Rehabilitation hospital,West ,,,,,,,,,06
BAPTIST MEMORIAL REHABILITATION HOSPITAL,443034,LifePoint Health,Apollo Global Management,Y,TN,1240 S GERMANTOWN ROAD,GERMANTOWN,38138,Shelby,,,For profit,Rehabilitation hospital,South ,,,,49,49,49,,,47
BAPTIST NEIGHBORHOOD HOSPITAL,670078,Baptist Health/Emerus,"Welsh, Carson, Anderson & Stowe",Y,TX,16088 SAN PEDRO,SAN ANTONIO,78232,BEXAR,,,Proprietary,Acute Care Hospitals,South ,PPS,Not Available,50,,58,58,46,Yes,48
BAPTIST ST ANTHONY'S HOSPITAL,450231,Ardent Health Services,Equity Group Investments,Y,TX,1600 WALLACE BLVD,AMARILLO,79106,POTTER,August 2015,PE,Proprietary,Acute Care Hospitals,South ,RRC,2,365,,445,445,346,Yes,48
