NAICS,NAICS_TITLE
457100,Gasoline Stations
562100,Waste Collection
334400,Semiconductor and Other Electronic Component Manufacturing
454200,Vending Machine Operators
486200,Pipeline Transportation of Natural Gas
452000,General Merchandise Stores
332200,Cutlery and Handtool Manufacturing
518200,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services"
311100,Animal Food Manufacturing
999100,Federal Executive Branch
441100,Automobile Dealers
517000,Telecommunications
611100,Elementary and Secondary Schools
487900,"Scenic and Sightseeing Transportation, Other"
424600,Chemical and Allied Products Merchant Wholesalers
449100,Furniture and Home Furnishings Retailers
522100,Depository Credit Intermediation
541500,Computer Systems Design and Related Services
722400,Drinking Places (Alcoholic Beverages)
813100,Religious Organizations
531300,Activities Related to Real Estate
623200,"Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse Facilities"
481100,Scheduled Air Transportation
336100,Motor Vehicle Manufacturing
,"Chemical Manufacturing (3251, 3252, 3253, and 3259 only)"
811400,Personal and Household Goods Repair and Maintenance
713900,Other Amusement and Recreation Industries
316200,Footwear Manufacturing
325900,Other Chemical Product and Preparation Manufacturing
333900,Other General Purpose Machinery Manufacturing
313300,Textile and Fabric Finishing and Fabric Coating Mills
311600,Animal Slaughtering and Processing
423400,Professional and Commercial Equipment and Supplies Merchant Wholesalers
458300,"Jewelry, Luggage, and Leather Goods Retailers"
425100,Wholesale Electronic Markets and Agents and Brokers
332700,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing"
424100,Paper and Paper Product Merchant Wholesalers
517200,Wireless Telecommunications Carriers (except Satellite)
624400,Child Care Services
333400,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing"
445200,Specialty Food Stores
561100,Office Administrative Services
711200,Spectator Sports
448100,Clothing Stores
335100,Electric Lighting Equipment Manufacturing
611300,"Colleges, Universities, and Professional Schools"
238100,"Foundation, Structure, and Building Exterior Contractors"
621500,Medical and Diagnostic Laboratories
316900,Other Leather and Allied Product Manufacturing
334600,Manufacturing and Reproducing Magnetic and Optical Media
488100,Support Activities for Air Transportation
484000,Truck Transportation
999300,Local Government (OES Designation)
336300,Motor Vehicle Parts Manufacturing
311800,Bakeries and Tortilla Manufacturing
456100,Health and Personal Care Retailers
213100,Support Activities for Mining
453200,"Office Supplies, Stationery, and Gift Stores"
813300,Social Advocacy Organizations
332900,Other Fabricated Metal Product Manufacturing
325400,Pharmaceutical and Medicine Manufacturing
522300,Activities Related to Credit Intermediation
485200,Interurban and Rural Bus Transportation
423600,Electrical and Electronic Goods Merchant Wholesalers
441300,"Automotive Parts, Accessories, and Tire Retailers"
521100,Monetary Authorities - Central Bank
315200,Cut and Sew Apparel Manufacturing
561600,Investigation and Security Services
331200,Steel Product Manufacturing from Purchased Steel
486900,Other Pipeline Transportation
541700,Scientific Research and Development Services
623900,Other Residential Care Facilities
327100,Clay Product and Refractory Manufacturing
622200,Psychiatric and Substance Abuse Hospitals
513100,"Newspaper, Periodical, Book, and Directory Publishers"
812100,Personal Care Services
315900,Apparel Accessories and Other Apparel Manufacturing
621200,Offices of Dentists
212100,Coal Mining
325600,"Soap, Cleaning Compound, and Toilet Preparation Manufacturing"
326100,Plastics Product Manufacturing
517900,Other Telecommunications
484200,Specialized Freight Trucking
487100,"Scenic and Sightseeing Transportation, Land"
722100,Full-Service Restaurants
485900,Other Transit and Ground Passenger Transportation
238300,Building Finishing Contractors
115100,Support Activities for Crop Production
333600,"Engine, Turbine, and Power Transmission Equipment Manufacturing"
485400,School and Employee Bus Transportation
541900,"Other Professional, Scientific, and Technical Services"
311300,Sugar and Confectionery Product Manufacturing
531000,Real Estate
812300,Drycleaning and Laundry Services
523000,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities"
492200,Local Messengers and Local Delivery
335300,Electrical Equipment Manufacturing
453900,Other Miscellaneous Store Retailers
322200,Converted Paper Product Manufacturing
424300,"Apparel, Piece Goods, and Notions Merchant Wholesalers"
811100,Automotive Repair and Maintenance
447100,Gasoline Stations
237100,Utility System Construction
423100,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers
448300,"Jewelry, Luggage, and Leather Goods Stores"
541200,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services"
327300,Cement and Concrete Product Manufacturing
332400,"Boiler, Tank, and Shipping Container Manufacturing"
444200,Lawn and Garden Equipment and Supplies Retailers
512100,Motion Picture and Video Industries
532200,Consumer Goods Rental
611500,Technical and Trade Schools
516200,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers"
339900,Other Miscellaneous Manufacturing
525900,Other Investment Pools and Funds
221100,"Electric Power Generation, Transmission and Distribution"
334100,Computer and Peripheral Equipment Manufacturing
524200,"Agencies, Brokerages, and Other Insurance Related Activities"
424800,"Beer, Wine, and Distilled Alcoholic Beverage Merchant Wholesalers"
561300,Employment Services
517400,Satellite Telecommunications
722300,Special Food Services
541400,Specialized Design Services
523200,Securities and Commodity Exchanges
211100,Oil and Gas Extraction
314900,Other Textile Product Mills
486100,Pipeline Transportation of Crude Oil
488300,Support Activities for Water Transportation
334300,Audio and Video Equipment Manufacturing
313200,Fabric Mills
551100,Management of Companies and Enterprises
713100,Amusement Parks and Arcades
454100,Electronic Shopping and Mail-Order Houses
221300,"Water, Sewage and Other Systems"
721100,Traveler Accommodation
711400,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures"
451200,Book Stores and News Dealers
811300,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance
325100,Basic Chemical Manufacturing
331400,Nonferrous Metal (except Aluminum) Production and Processing
511100,"Newspaper, Periodical, Book, and Directory Publishers"
446100,Health and Personal Care Stores
459200,Book Retailers and News Dealers
424500,Farm Product Raw Material Merchant Wholesalers
332600,Spring and Wire Product Manufacturing
237300,"Highway, Street, and Bridge Construction"
423300,Lumber and Other Construction Materials Merchant Wholesalers
515200,Cable and Other Subscription Programming
336500,Railroad Rolling Stock Manufacturing
423800,"Machinery, Equipment, and Supplies Merchant Wholesalers"
519100,Other Information Services
321200,"Veneer, Plywood, and Engineered Wood Product Manufacturing"
333100,"Agriculture, Construction, and Mining Machinery Manufacturing"
621900,Other Ambulatory Health Care Services
311500,Dairy Product Manufacturing
